"horizon","lower_90","lower_50","median","upper_50","upper_90","date","impulse","response","scenario"
6,-0.000895739734196736,0.000266259643822912,0.000990148429493142,0.00202681887247607,0.00489179923201733,"2026-02-28","oil_shock","inflation_mom","cholesky"
7,-0.000472569605920949,0.000121820782943306,0.000528957055445878,0.00110789974187607,0.00302693211490127,"2026-02-28","oil_shock","inflation_mom","cholesky"
8,-0.000263670616434286,5.96627640663194e-05,0.000271585188913516,0.00061732767394709,0.00180355567092854,"2026-02-28","oil_shock","inflation_mom","cholesky"
9,-0.000138177487134353,3.00985530389998e-05,0.000147836641016434,0.000346141906654719,0.00108300891362201,"2026-02-28","oil_shock","inflation_mom","cholesky"
10,-8.20267129736518e-05,1.61466762567666e-05,7.94623835487694e-05,0.000191321225487447,0.000642946395427571,"2026-02-28","oil_shock","inflation_mom","cholesky"
11,-4.32579154899027e-05,8.75931090340143e-06,4.37720566715619e-05,0.000114511991620385,0.000415698513065565,"2026-02-28","oil_shock","inflation_mom","cholesky"
12,-2.61017502044911e-05,3.42700156748672e-06,2.29272680528518e-05,6.74293267424968e-05,0.000255302257795734,"2026-02-28","oil_shock","inflation_mom","cholesky"
0,0.0176844833933735,0.0839798862560795,0.145634625781316,0.22621097917359,0.415481138392715,"2026-02-28","fx_dep","inflation_mom","cholesky"
1,-0.00469733014659609,0.0373947878444824,0.0664054556765105,0.111174670705545,0.212201595738645,"2026-02-28","fx_dep","inflation_mom","cholesky"
2,-0.0122028438338338,0.0144805020697954,0.0326642615027557,0.0582107099616826,0.114273423184204,"2026-02-28","fx_dep","inflation_mom","cholesky"
3,-0.011205084643724,0.00539904011307213,0.0159113361624724,0.0304840281159752,0.0626862988214763,"2026-02-28","fx_dep","inflation_mom","cholesky"
4,-0.00711918295605167,0.00192488386330217,0.00733313056336361,0.0165265142001439,0.0346529803363941,"2026-02-28","fx_dep","inflation_mom","cholesky"
5,-0.0038906884533703,0.000786976411796163,0.00359779204883722,0.00879913892831135,0.0199162380335768,"2026-02-28","fx_dep","inflation_mom","cholesky"
6,-0.00233476493226591,0.000296135630139081,0.00184076753913042,0.00478044414477926,0.0118215749878378,"2026-02-28","fx_dep","inflation_mom","cholesky"
7,-0.0012379299602932,0.000164819537148359,0.000903791992396131,0.00263070563010959,0.00705709523376853,"2026-02-28","fx_dep","inflation_mom","cholesky"
8,-0.00062191115619466,4.86379658553431e-05,0.000471753304391156,0.00139449685136909,0.00442679493309489,"2026-02-28","fx_dep","inflation_mom","cholesky"
9,-0.000333965995239936,1.60744578507927e-05,0.000252195763910094,0.000782724662622004,0.00257880449533268,"2026-02-28","fx_dep","inflation_mom","cholesky"
10,-0.000222436407076058,5.87823733769813e-06,0.000127498776401482,0.000439940143912486,0.00169132963044828,"2026-02-28","fx_dep","inflation_mom","cholesky"
11,-0.000129586495485852,2.53293117672532e-06,6.68011927971756e-05,0.000245657370628281,0.00094506136537393,"2026-02-28","fx_dep","inflation_mom","cholesky"
12,-8.23369041464328e-05,8.54949177787627e-08,3.5158308986387e-05,0.000140034401281619,0.000582960853348614,"2026-02-28","fx_dep","inflation_mom","cholesky"
