Date,FFR,GPR_ME,GSCPI,Oil,USDLAK,CPI_Inf,CPI,oil_shock,fx_dep,inflation_mom,post_2022,regime,event_tag,GPR_ME_alt
2014-04-30,0.09,0.1033245265483856,-0.8242954931290022,108.63,8045.0,5.25,98.3,2.4980327731351615,0.04351474907817732,0.8171649149319116,0,pre_2022,,0.12028236873447892
2014-05-31,0.08,0.1294449687004089,-0.8355352437817898,109.21,8075.0,4.73,98.5,0.5325021763977311,0.3722088664373402,0.20325210249225734,0,pre_2022,,0.15051740594208238
2014-06-30,0.09,0.1990799501538276,-0.6979232880390295,111.03,8036.0,4.26,98.6,1.652780085653749,-0.48414221560317827,0.10147134305462657,0,pre_2022,,0.23893559724092478
2014-07-31,0.08,0.4416725501418114,-0.8248778196527791,104.94,8045.0,3.7,98.9,-5.6411676807608835,0.11193334916583808,0.30379770200772427,0,pre_2022,,0.5393425896763802
2014-08-31,0.07,0.4419432282447815,-0.6303013142414327,101.12,8041.0,3.62,99.0,-3.7080827860018317,-0.049732687833348166,0.10106115059231868,0,pre_2022,,0.5420839227735996
2014-09-30,0.07,0.3227360315620899,-0.8215297441600508,94.67,8054.5,3.05,99.2,-6.591077025774794,0.16774878898697665,0.20181641562375674,0,pre_2022,,0.39137765020132065
2014-10-31,0.07,0.1946620054543018,-0.5981970235539039,84.17,8054.0,3.03,99.2,-11.755859691731452,-0.006207902661969911,0.0,0,pre_2022,,0.2328720279037952
2014-11-30,0.08,0.1947451006621122,-0.9796372572447956,71.89,8057.0,2.81,99.1,-15.770139022770469,0.03724163657956581,-0.10085729548849898,0,pre_2022,,0.23638997226953504
2014-12-31,0.06,0.1524058327078819,-0.4003464385293892,55.27,8095.0,2.4,99.1,-26.290690715060894,0.47053083345396374,0.0,0,pre_2022,,0.17635532096028325
2015-01-31,0.06,0.2496126033365726,-0.5137671103254251,47.52,8121.5,2.04,98.9,-15.107959079078181,0.32682790477149837,-0.20202027072757645,0,pre_2022,,0.2984043285250664
2015-02-28,0.06,0.256340080499649,-0.3258833866162429,61.89,8111.0,1.44,98.6,26.420794069688025,-0.12937010891054257,-0.30379770200772427,0,pre_2022,,0.3078817687928676
2015-03-31,0.06,0.4185031101107597,-0.3905273047327533,53.69,8115.0,1.19,98.7,-14.213185131679174,0.04930358783461486,0.10136848308466284,0,pre_2022,,0.5097417309880257
2015-04-30,0.08,0.3630489345639944,-0.3591480015153042,63.9,8099.0,0.95,99.3,17.40925969490106,-0.1973603699701343,0.606062461169099,0,pre_2022,,0.446371641010046
2015-05-31,0.08,0.2214716278016567,-0.5550276289261104,63.16,8105.5,1.19,99.6,-1.164817199604773,0.08022463326380347,0.3016593539425294,0,pre_2022,,0.26401299238204956
2015-06-30,0.08,0.2078642025589943,-0.87497636805583,60.31,8111.0,1.37,99.9,-4.617326192454563,0.06783214887171596,0.30075210639557426,0,pre_2022,,0.24250823631882662
2015-07-31,0.08,0.3645179472863674,-0.417781880045235,53.29,8210.0,1.17,100.1,-12.374923115420433,1.2131758376130009,0.20000006666665016,0,pre_2022,,0.44157756119966507
2015-08-31,0.08,0.2497408285737037,-0.6895123863646098,47.97,8171.5,1.29,100.3,-10.517288079471854,-0.4700432913361752,0.19960086467154525,0,pre_2022,,0.3039298765361309
2015-09-30,0.07,0.3384374342858791,-0.4020380960420781,47.29,8145.0,1.23,100.4,-1.4276958858188138,-0.32482484969680314,0.0996512289739293,0,pre_2022,,0.40890898182988167
2015-10-31,0.07,0.2806050058454275,-0.2461554797576113,48.0,8167.5,1.32,100.5,1.4902154252106836,0.2758622439079872,0.09955202415010689,0,pre_2022,,0.3446737788617611
2015-11-30,0.08,0.4694063812494278,-0.649100877691472,43.73,8155.31,1.27,100.3,-9.31666454830622,-0.14936156539473444,-0.1992032531240362,0,pre_2022,,0.5730593465268612
2015-12-31,0.2,0.3383828520774841,-0.607749180043151,36.61,8145.0,0.9,100.0,-17.77129382926841,-0.12650067851325275,-0.2995508979798167,0,pre_2022,,0.40699391067028046
2016-01-31,0.29,0.2799406751990318,-0.8041596359773592,33.14,8160.84,0.84,99.9,-9.958041513372784,0.19428628003996806,-0.1000500333583787,0,pre_2022,,0.3325454220175743
2016-02-29,0.29,0.2876993790268898,-0.7576905447020873,35.92,8135.25,1.32,100.2,8.05532314355819,-0.31406332481083155,0.2998502996256036,0,pre_2022,,0.34983853064477444
2016-03-31,0.25,0.2453487910330295,-0.659736602494206,36.75,8130.85,1.13,100.1,2.2843982224846737,-0.05410024661482993,-0.09985023295895346,0,pre_2022,,0.2953691631555557
2016-04-30,0.3,0.1831110266968608,-0.2768878350992896,45.64,8129.09,0.96,100.7,21.66462993350291,-0.021648296449860993,0.5976113403342254,0,pre_2022,,0.22540316730737686
2016-05-31,0.29,0.2048527292907238,-0.7166828673530207,49.26,8111.16,1.17,101.2,7.632786769851707,-0.22080949843843456,0.49529571288484675,0,pre_2022,,0.25037555769085884
2016-06-30,0.3,0.1991787400096654,-0.2913950359436621,48.05,8116.36,1.62,101.9,-2.48702572760906,0.06408866145886094,0.689318337531386,0,pre_2022,,0.24189361184835428
2016-07-31,0.3,0.2995629295706749,-0.1734125087595251,40.76,8111.43,1.97,102.0,-16.454092706177725,-0.06075996980090537,0.09808730555915801,0,pre_2022,,0.36708736047148705
2016-08-31,0.3,0.2098408125340938,0.0889118087119933,47.94,8094.0,1.85,102.2,16.22490206517142,-0.2151131654173355,0.19588644853332227,0,pre_2022,,0.25325615331530565
2016-09-30,0.29,0.2187941111624241,-0.2969691036879887,48.24,8113.26,1.84,102.3,0.6238323412691926,0.23767137771919522,0.09779951879771431,0,pre_2022,,0.2659306302666664
2016-10-31,0.31,0.1924020811915397,-0.0607275138971585,46.2,8165.0,1.86,102.4,-4.320875433123694,0.6356966191562563,0.0977039647826139,0,pre_2022,,0.23314027674496174
2016-11-30,0.31,0.1292241409420967,-0.3143124538629114,47.95,8180.47,2.09,102.4,3.717900324175405,0.18928797543384945,0.0,0,pre_2022,,0.1538382628932595
2016-12-31,0.55,0.2565616369247436,-0.2256124406483824,54.96,8183.87,2.49,102.5,13.644684658464712,0.04155376934136257,0.09760859730558735,0,pre_2022,,0.3126509487628937
2017-01-31,0.56,0.2816045396029949,0.1664427910315672,55.25,8196.32,2.27,102.0,0.5262692483768205,0.15201291801201222,-0.4889985294192378,0,pre_2022,,0.3393435999751091
2017-02-28,0.57,0.2346073426306247,0.1489683931101732,53.36,8201.95,1.67,101.5,-3.4806938790494346,0.06866578268578394,-0.4914014802428923,0,pre_2022,,0.28362155333161354
2017-03-31,0.82,0.1730436474084854,0.0776758045087339,52.2,8205.31,1.75,101.5,-2.1978906718775004,0.04095747915204839,0.0,0,pre_2022,,0.2030859477818012
2017-04-30,0.83,0.2322160333395004,0.0117830383243144,49.46,8209.45,1.52,101.8,-5.391823279532293,0.05044240778158127,0.2951305634580237,0,pre_2022,,0.27976252883672714
2017-05-31,0.83,0.2548740852624178,-0.1445763732713084,49.4,8203.86,1.07,101.9,-0.1213837899393333,-0.06811545283831322,0.09818361122571062,0,pre_2022,,0.31605402007699007
2017-06-30,1.06,0.3601651154458523,0.0877964069221112,47.08,8252.61,0.41,102.0,-4.810214180180106,0.5924738732417723,0.09808730555915801,0,pre_2022,,0.44117646664381027
2017-07-31,1.07,0.2575107291340828,0.0924186945859847,51.99,8290.0,-0.03,102.0,9.920311000354864,0.45204551966744333,0.0,0,pre_2022,,0.31129126250743866
2017-08-31,1.07,0.1591540277004242,0.3932948384153831,52.69,8289.42,0.16,102.3,1.3374291825569706,-0.006996625940303147,0.2936859673310366,0,pre_2022,,0.1895962413400411
2017-09-30,1.06,0.1657762080430984,0.5548201897367132,57.02,8302.0,0.31,102.6,7.897639926333211,0.15164467430466289,0.29282597790878384,0,pre_2022,,0.18475059419870368
2017-10-31,1.07,0.1728755794465541,0.7957669014503408,61.35,8325.0,0.49,102.9,7.319308767239452,0.27665862356602844,0.2919710103334694,0,pre_2022,,0.2069637216627597
2017-11-30,1.07,0.2684733182191848,0.8140002190094138,63.53,8323.0,0.23,102.7,3.4917064121520625,-0.024026910254981715,-0.1945525905490797,0,pre_2022,,0.31770745292305946
2017-12-31,1.33,0.1919034980237484,0.6881592706872397,66.73,8316.0,0.15,102.6,4.914239163707368,-0.08413967681910606,-0.0974184197843897,0,pre_2022,,0.23531024158000946
